Gender,Religious ,Influence,Age:,Rogue One: A Star Wars Story, Finding Dory,Captain America: Civil War,The Secret Life of Pets,The Jungle Book ,Deadpool,Zootopia,Batman v Superman: Dawn of Justice,Sucide Squad,Moana,Fantastic Beast and Where to Find Them,Doctor Strange,Hidden Figures,Jason Bourne,Star Trek Beyond,X-Men: Apocalypse,Trolls,La La Land,Kung Fu Panda 3,Fight Club,Hacksaw Ridge,Slumdog Millionaire,The Magnificent Seven,Avatar,Gender equality boosts economic growth,"To achieve gender equality, changes are required for both men and women",Women with full-time jobs earn less than their male counterparts,Women empowerment comes at the expense of men,Women are promoted at work less often than men,"There should be an equal number of men and women who are leaders in work, politics, and community",Most developed countries have attained gender equality,"Women inherently lack the ambition, confidence, and core competencies necessary for leadership success",Biological differences in men and women account for the lack of women in STEM fields,Crying is associated with femininity and weakness,Women would rather stay home with their children than be in the workplace
Female,Not Religious,Slightly,30,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Didn't like it,Didn't like it,Didn't like it,Liked it,Liked it,Liked it,Liked it,Didn't like it,Liked it,Liked it,Liked it,Didn't like it,Liked it,,,,,,,,,,,,,,,,
Female,Christian: Protestant or Other,Slightly,30,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Female,Agnostic,Slightly,44,Liked it,Never saw it,Never saw it,Didn't like it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Never saw it,Didn't like it,Never saw it,Liked it,Never saw it,Never saw it,No opinion,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,No opinion,No opinion
Female,Christian: Catholic or Orthodox,Moderately,24,Didn't like it,Liked it,Didn't like it,Liked it,Didn't like it,Liked it,Liked it,Liked it,Never saw it,Liked it,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Didn't like it,Didn't like it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Didn't like it,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,No opinion,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree
Female,Christian: Protestant or Other,Slightly,35,Liked it,Liked it,Liked it,Didn't like it,Liked it,Liked it,Didn't like it,Didn't like it,Didn't like it,Liked it,Liked it,Liked it,Liked it,Didn't like it,Liked it,Liked it,Liked it,Didn't like it,Liked it,Didn't like it,Didn't like it,Liked it,Didn't like it,Liked it,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree
Male,Muslim/Islamic,Moderately,35,Didn't like it,Never saw it,Didn't like it,Never saw it,Never saw it,Liked it,Didn't like it,Liked it,Liked it,Didn't like it,Liked it,Never saw it,Liked it,Liked it,Didn't like it,Never saw it,Didn't like it,Never saw it,Liked it,Liked it,Didn't like it,Never saw it,Never saw it,Liked it,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree
Male,Hindu,Moderately,29,Liked it,Never saw it,Liked it,Never saw it,Liked it,Didn't like it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Liked it,Liked it,Never saw it,Never saw it,Liked it,Liked it,Liked it,Liked it,Liked it,Liked it,Strongly agree,Strongly agree,No opinion,Strongly agree,No opinion,Somewhat disagree,Strongly agree,Strongly disagree,No opinion,Strongly disagree,Strongly disagree
Female,Not Religious,Not at all,30,Liked it,Liked it,Never saw it,Liked it,Liked it,Liked it,Liked it,Never saw it,Never saw it,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Never saw it,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,No opinion,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree
Female,Christian: Protestant or Other,Slightly,34,Never saw it,Liked it,Liked it,Liked it,Liked it,Liked it,Didn't like it,Never saw it,Didn't like it,Liked it,Liked it,Liked it,Liked it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Never saw it,Liked it,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree
Female,Christian: Catholic or Orthodox,Slightly,29,Liked it,Liked it,Never saw it,Never saw it,Never saw it,Liked it,Liked it,Never saw it,Never saw it,Liked it,Didn't like it,Never saw it,Liked it,Never saw it,Never saw it,Never saw it,Never saw it,Didn't like it,Never saw it,Never saw it,Never saw it,Liked it,Never saw it,Liked it,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
